"Player_Name","Nation","Position_1","Position_2","Team_Name","Age","Birth_Year","Matches_Played_By_Player","Player_Starts","Player_Minutes_Played","Gls_By_Player","Ast_By_Player","PK_By_Player","Pkatt_By_Player","CrdY_By_Player","CrdR_By_Player","Season_Year","Player_SH","Player_SoT","Player_FK","Player_KP_Ast","Player_Total_Cmp_Passes","Player_Total_Att_Passes","Player_Short_Cmp_Passes","Player_Short_Att_Passes","Player_Medium_Cmp_Passes","Player_Medium_Att_Passes","Player_Long_Cmp_Passes","Player_Long_Att_Passes","Player_Passes_Left_Foot","Player_Passes_Right_Foot","Player_Passes_Through_Ball","Player_Passes_FK","Corner_Kicks","Thrown_Ins","Passes_Into_Final_Third","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","X2CrdY","Fls_Committed","Fld_Drawn","Offside","Crosses","TklW","Interception","PKwon","PKcon","OG","Succ_Dribbles","Att_Dribbles","Succ_Players_Dribbled_Past","Nutmegs","Dribblers_Tkl","Dribblers_Att_tkl","Dribbled_Past_By_Opp","Season_End_Team_Ranking","Team_MP","Team_Wins","Team_Ties","Team_Losses","Team_GF","Team_GA","Team_Season_End_Pts","Audience_Attendance"
"Toby Alderweireld\Toby-Alderweireld","BEL","DF",NA,"Tottenham",28,1989,14,13,1178,0,0,0,0,3,0,"2017-18",10,1,0,3,779,918,5,10,464,504,310,404,156,700,11,1,0,8,112,8,2,0,8,2,0,7,7,4,0,0,0,6,8,6,0,14,23,9,3,38,23,8,7,74,36,77,"67,953"
"Trent Alexander-Arnold\Trent-Alexander-Arnold"," ENG","DF",NA,"Liverpool",18,1998,19,18,1573,1,1,0,0,3,0,"2017-18",12,6,1,25,918,1257,13,56,669,773,236,428,91,966,11,1,11,154,65,23,5,0,12,1,3,100,19,30,0,0,0,15,31,19,3,32,56,24,4,38,21,12,5,84,38,75,"53,049"
"Joe Allen\Joe-Allen"," WAL","MF",NA,"Stoke City",27,1990,36,36,3139,2,6,0,0,8,0,"2017-18",23,4,0,30,1078,1363,22,60,853,1011,203,292,240,972,11,3,8,2,103,26,3,0,49,49,0,37,59,62,0,0,0,44,59,47,10,83,133,50,19,38,7,12,19,35,68,33,"29,280"
"Dele Alli\Dele-Alli"," ENG","MF","FW","Tottenham",21,1996,36,34,2958,9,10,0,0,7,0,"2017-18",72,18,0,59,956,1245,45,110,755,897,156,238,88,1075,10,7,4,16,87,49,2,0,45,85,5,18,26,27,1,0,0,56,122,67,7,39,62,23,3,38,23,8,7,74,36,77,"67,953"
"Marcos Alonso\Marcos-Alonso","ESP","MF","DF","Chelsea",26,1990,33,33,2855,7,2,0,0,6,0,"2017-18",65,23,9,22,1245,1602,26,89,1003,1169,216,344,1145,178,10,0,0,178,56,28,13,0,26,31,8,98,25,51,0,0,0,12,24,12,1,43,69,26,5,38,21,7,10,62,38,70,"41,282"
"Daniel Amartey\Daniel-Amartey","GHA","DF",NA,"Leicester City",22,1994,8,6,487,0,0,0,0,1,2,"2017-18",0,0,0,0,221,287,2,6,171,194,48,87,27,194,0,0,0,40,19,0,0,1,4,7,0,0,1,4,0,0,0,2,3,2,0,8,14,6,9,38,12,11,15,56,60,47,"31,583"
"Ethan Ampadu\Ethan-Ampadu"," WAL","DF",NA,"Chelsea",16,2000,1,0,11,0,0,0,0,0,0,"2017-18",0,0,0,0,19,19,0,0,13,13,6,6,3,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,38,21,7,10,62,38,70,"41,282"
"Nordin Amrabat\Nordin-Amrabat","MAR","FW",NA,"Watford",30,1987,3,3,198,0,0,0,0,0,0,"2017-18",1,0,0,2,45,78,0,5,37,55,8,18,9,60,0,0,0,2,5,2,1,0,6,2,2,9,3,0,0,0,0,2,5,2,0,4,5,1,14,38,11,8,19,44,64,41,"20,231"
"Michail Antonio\Michail-Antonio"," ENG","FW","MF","West Ham",27,1990,21,16,1354,3,1,0,0,1,0,"2017-18",35,15,0,11,283,479,8,29,222,312,53,138,72,293,0,1,0,45,26,10,5,0,17,30,7,55,9,13,1,0,0,40,69,43,2,11,21,10,13,38,10,12,16,48,68,42,"56,885"
"Scott Arfield\Scott-Arfield","CAN","FW","MF","Burnley",28,1988,18,15,1333,2,1,0,0,3,0,"2017-18",15,5,0,7,265,386,11,27,221,293,33,66,55,276,0,0,0,1,24,8,1,0,21,14,2,8,19,15,0,0,0,13,27,16,1,28,53,25,7,38,14,12,12,36,39,54,"20,688"
"Marko Arnautovi?\Marko-Arnautovic","AUT","FW","MF","West Ham",28,1989,31,28,2313,11,6,0,0,5,1,"2017-18",70,33,0,30,508,753,22,66,428,568,58,119,115,535,10,0,3,12,21,14,3,0,35,29,43,60,12,16,0,0,0,36,64,41,3,18,27,9,13,38,10,12,16,48,68,42,"56,885"
"Harry Arter\Harry-Arter","IRL","MF",NA,"Bournemouth",27,1989,13,11,960,1,0,0,0,4,0,"2017-18",11,1,0,2,491,572,6,12,366,399,119,161,306,247,15,0,1,1,52,6,1,0,9,15,0,5,14,10,0,0,0,3,5,3,1,20,32,12,12,38,11,11,16,45,61,44,"10,641"
"Christian Atsu\Christian-Atsu","GHA","MF","FW","Newcastle Utd",25,1992,28,19,1784,2,2,0,0,1,0,"2017-18",35,13,0,25,363,515,11,46,312,384,40,85,395,67,4,0,3,6,19,14,4,0,10,26,6,57,6,11,0,0,0,21,50,25,5,17,35,18,10,38,12,8,18,39,47,44,"51,992"
"Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang","GAB","FW",NA,"Arsenal",28,1989,13,12,1057,10,4,1,2,0,0,"2017-18",28,17,1,13,219,324,9,24,195,257,15,43,22,273,0,0,0,2,8,3,0,0,1,8,10,16,3,5,0,0,0,10,10,10,0,4,11,7,6,38,19,6,13,74,51,63,"59,323"
"Serge Aurier\Serge-Aurier","CIV","DF",NA,"Tottenham",24,1992,17,16,1429,2,2,0,0,2,2,"2017-18",15,5,0,13,741,996,16,46,616,755,109,195,91,675,1,0,1,138,35,16,3,1,21,16,2,69,33,32,0,1,0,18,25,20,0,49,69,20,3,38,23,8,7,74,36,77,"67,953"
"Charlie Austin\Charlie-Austin"," ENG","FW",NA,"Southampton",28,1989,24,10,1037,7,0,1,1,2,0,"2017-18",48,24,0,2,170,238,6,11,135,182,29,45,19,147,0,0,0,1,17,0,0,0,16,16,14,3,3,2,0,0,0,5,9,7,0,5,10,5,17,38,7,15,16,37,56,36,"30,794"
"Andr? Ayew\Andre-Ayew","GHA","FW","MF","West Ham",27,1989,18,9,895,3,2,0,1,2,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,38,10,12,16,48,68,42,"56,885"
"Andr? Ayew\Andre-Ayew","GHA","FW","MF","Swansea City",27,1989,12,10,950,0,2,0,0,3,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,38,8,9,21,28,56,33,"20,623"
"Jordan Ayew\Jordan-Ayew","GHA","FW","MF","Swansea City",25,1991,36,33,2852,7,2,1,1,2,1,"2017-18",60,22,4,14,693,879,31,66,567,668,95,145,43,754,4,0,0,3,22,19,2,0,63,88,8,45,50,26,0,0,0,68,111,73,3,70,92,22,18,38,8,9,21,28,56,33,"20,623"
"C?sar Azpilicueta\Cesar-Azpilicueta","ESP","DF",NA,"Chelsea",27,1989,37,37,3330,2,6,0,0,1,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,38,21,7,10,62,38,70,"41,282"
"Eric Bailly\Eric-Bailly","CIV","DF",NA,"Manchester Utd",23,1994,13,11,1001,1,0,0,0,2,0,"2017-18",4,1,0,2,374,429,5,7,259,277,110,145,53,338,5,0,0,1,15,2,0,0,10,9,0,0,11,23,0,0,1,5,6,5,0,16,23,7,2,38,25,6,7,68,28,81,"74,976"
"Leighton Baines\Leighton-Baines"," ENG","DF","MF","Everton",32,1984,22,22,1909,2,3,2,2,1,0,"2017-18",4,2,2,24,730,972,13,46,583,677,134,249,640,151,18,0,20,129,68,20,9,0,7,17,1,75,8,28,0,0,0,9,13,9,1,19,25,6,8,38,13,10,15,44,58,49,"38,797"
"Tiemou? Bakayoko\Tiemoue-Bakayoko","FRA","MF",NA,"Chelsea",22,1994,29,24,2126,2,2,0,0,4,2,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,38,21,7,10,62,38,70,"41,282"
"Sam Baldock\Sam-Baldock"," ENG","FW","MF","Brighton",28,1989,2,0,32,0,0,0,0,0,0,"2017-18",0,0,0,0,4,7,0,0,4,6,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,9,13,16,34,54,40,"30,403"
"Beni Baningime\Beni-Baningime","COD","MF",NA,"Everton",18,1998,8,1,198,0,0,0,0,1,0,"2017-18",0,0,0,0,67,82,3,8,52,60,12,14,15,62,0,0,0,0,7,1,0,0,4,1,0,0,2,3,0,0,0,2,5,2,0,8,12,4,8,38,13,10,15,44,58,49,"38,797"
"Phil Bardsley\Phil-Bardsley"," SCO","DF",NA,"Burnley",32,1985,13,13,1125,0,0,0,0,5,0,"2017-18",2,2,0,7,377,559,6,15,280,362,91,182,52,319,10,0,0,123,52,7,5,0,22,18,0,19,15,23,0,1,0,4,8,5,0,22,32,10,7,38,14,12,12,36,39,54,"20,688"
"Ross Barkley\Ross-Barkley"," ENG","MF",NA,"Chelsea",23,1993,2,2,129,0,0,0,0,0,0,"2017-18",2,2,0,2,39,52,0,0,33,43,6,9,12,38,0,0,0,0,1,2,1,0,1,1,0,3,0,0,0,0,0,3,3,3,0,0,0,0,5,38,21,7,10,62,38,70,"41,282"
"Ashley Barnes\Ashley-Barnes","AUT","FW",NA,"Burnley",27,1989,36,21,2165,9,0,0,0,10,0,"2017-18",62,24,0,17,304,507,20,46,246,371,38,90,90,264,0,0,0,1,15,8,2,0,53,71,26,16,10,2,0,0,0,14,24,14,2,13,23,10,7,38,14,12,12,36,39,54,"20,688"
"Harvey Barnes\Harvey-Barnes"," ENG","MF","FW","Leicester City",19,1997,3,0,10,0,0,0,0,0,0,"2017-18",1,0,0,0,6,7,0,0,4,4,2,3,1,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,38,12,11,15,56,60,47,"31,583"
"Gareth Barry\Gareth-Barry"," ENG","MF",NA,"West Brom",36,1981,25,22,1923,1,1,0,0,4,0,"2017-18",14,5,1,18,695,929,5,18,516,608,174,303,680,118,19,2,11,1,102,16,3,0,28,29,1,29,21,20,0,0,0,10,13,11,1,33,60,27,20,38,6,13,19,31,56,31,"24,520"
"Kyle Bartley\Kyle-Bartley"," ENG","DF",NA,"Swansea City",26,1991,5,2,235,0,0,0,0,2,0,"2017-18",3,0,0,1,88,115,1,4,65,77,22,34,8,87,0,0,0,0,5,0,0,0,5,1,0,0,1,3,0,0,0,0,0,0,0,2,4,2,18,38,8,9,21,28,56,33,"20,623"
"Michy Batshuayi\Michy-Batshuayi","BEL","FW",NA,"Chelsea",23,1993,12,3,360,2,1,0,0,0,0,"2017-18",13,5,0,1,61,89,6,14,45,59,10,16,17,60,0,0,0,0,3,0,0,0,4,3,6,0,3,1,0,0,1,3,6,5,0,4,6,2,5,38,21,7,10,62,38,70,"41,282"
"Moritz Bauer\Moritz-Bauer","AUT","DF","MF","Stoke City",25,1992,15,15,1306,0,0,0,0,4,0,"2017-18",3,1,0,13,274,458,6,30,182,250,86,178,35,256,7,1,0,113,18,5,2,0,19,20,1,40,11,10,0,0,0,7,18,9,0,26,43,17,19,38,7,12,19,35,68,33,"29,280"
"Jan Bednarek\Jan-Bednarek","POL","DF",NA,"Southampton",21,1996,5,5,426,1,0,0,0,1,0,"2017-18",1,1,0,0,137,184,2,4,89,102,46,78,25,130,5,0,0,8,10,0,0,0,3,1,0,0,2,5,0,0,0,0,0,0,0,5,7,2,17,38,7,15,16,37,56,36,"30,794"
"Asmir Begovi?\Asmir-Begovic","BIH","GK",NA,"Bournemouth",30,1987,38,38,3420,0,0,0,0,2,0,"2017-18",0,0,0,1,483,809,2,3,215,219,266,587,100,523,82,0,0,0,5,0,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,1,1,12,38,11,11,16,45,61,44,"10,641"
"H?ctor Beller≠n\Hector-Bellerin","ESP","DF","MF","Arsenal",22,1995,35,34,3051,2,3,0,0,5,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,38,19,6,13,74,51,63,"59,323"
"Yohan Benalouane\Yohan-Benalouane","TUN","DF",NA,"Leicester City",30,1987,1,1,90,0,0,0,0,0,0,"2017-18",2,1,0,0,19,34,0,2,12,16,7,16,4,21,2,0,0,3,0,0,0,0,1,1,1,3,0,2,0,0,0,0,0,0,0,5,6,1,9,38,12,11,15,56,60,47,"31,583"
"Christian Benteke\Christian-Benteke","BEL","FW",NA,"Crystal Palace",26,1990,31,24,2240,3,5,1,2,6,0,"2017-18",56,16,0,27,374,639,23,59,310,509,41,71,27,302,0,1,0,0,29,11,1,0,48,27,12,3,6,7,2,0,0,17,31,20,1,7,20,13,11,38,11,11,16,45,55,44,"25,063"
"Saido Berahino\Saido-Berahino","BDI","FW","MF","Stoke City",23,1993,15,3,494,0,1,0,1,0,0,"2017-18",9,3,0,3,69,95,1,6,57,72,11,17,10,70,1,1,0,0,2,3,1,0,6,4,4,3,2,2,1,0,0,3,4,4,0,2,3,1,19,38,7,12,19,35,68,33,"29,280"
"JΩhann Berg Gu—mundsson\Johann-Berg-Gudmundsson","ISL","MF","FW","Burnley",26,1990,35,32,2833,2,8,0,0,2,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,38,14,12,12,36,39,54,"20,688"
"Ryan Bertrand\Ryan-Bertrand"," ENG","DF",NA,"Southampton",27,1989,35,35,3135,0,4,0,0,2,0,"2017-18",21,4,3,31,1442,1909,42,107,1185,1382,215,420,1346,135,22,4,32,288,127,37,12,0,32,33,1,136,19,41,0,0,0,16,39,18,1,39,60,21,17,38,7,15,16,37,56,36,"30,794"
"Muhamed Be?i?\Muhamed-Besic","BIH","MF",NA,"Everton",24,1992,2,0,46,0,0,0,0,0,0,"2017-18",0,0,0,1,26,27,0,0,15,15,11,12,4,21,1,0,0,0,1,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,2,3,1,8,38,13,10,15,44,58,49,"38,797"
"Philip Billing\Philip-Billing","DEN","MF",NA,"Huddersfield",21,1996,16,8,764,0,0,0,0,3,0,"2017-18",8,2,0,3,279,380,14,25,197,238,68,117,269,51,3,0,0,11,21,4,2,0,14,6,1,12,17,19,0,1,0,5,7,6,0,30,46,16,16,38,9,10,19,28,58,37,"24,040"
"Mame Biram Diouf\Mame-Biram-Diouf","SEN","FW","MF","Stoke City",29,1987,35,30,2596,6,2,0,0,6,0,"2017-18",59,20,0,15,359,641,7,56,306,482,46,103,75,316,0,2,0,34,30,4,0,0,38,39,23,35,24,16,0,0,0,11,33,15,0,44,54,10,19,38,7,12,19,35,68,33,"29,280"
"Daley Blind\Daley-Blind","NED","DF","MF","Manchester Utd",27,1990,7,4,362,0,0,0,0,0,0,"2017-18",3,0,0,7,213,269,6,10,163,187,44,72,207,28,0,0,15,18,23,6,3,0,4,4,0,26,4,6,0,0,0,1,3,1,0,8,13,5,2,38,25,6,7,68,28,81,"74,976"
"Jeremie Boga\Jeremie-Boga","CIV","MF",NA,"Chelsea",20,1997,1,1,17,0,0,0,0,0,0,"2017-18",0,0,0,0,4,4,1,1,3,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,21,7,10,62,38,70,"41,282"
"Yannick Bolasie\Yannick-Bolasie","COD","MF","FW","Everton",28,1989,16,11,851,1,0,0,0,0,0,"2017-18",20,6,0,2,143,270,3,22,121,177,19,71,63,177,0,1,1,2,9,7,4,0,12,11,4,53,6,5,0,0,0,14,26,15,1,10,15,5,8,38,13,10,15,44,58,49,"38,797"
"Ga?tan Bong\Gaetan-Bong","CMR","DF",NA,"Brighton",29,1988,25,25,2236,0,0,0,0,2,0,"2017-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,38,9,13,16,34,54,40,"30,403"
"Wilfried Bony\Wilfried-Bony","CIV","FW",NA,"Swansea City",28,1988,15,8,707,2,0,0,0,2,0,"2017-18",20,7,0,4,131,198,10,20,107,157,14,21,38,96,1,0,0,0,12,2,0,0,7,11,2,1,3,2,0,0,0,8,10,9,0,3,5,2,18,38,8,9,21,28,56,33,"20,623"
"Sofiane Boufal\Sofiane-Boufal","MAR","MF","FW","Southampton",23,1993,26,11,1219,2,2,0,0,1,0,"2017-18",28,6,0,20,413,571,10,28,340,425,63,118,115,427,2,1,12,2,29,24,4,0,27,28,3,39,25,7,0,0,0,70,106,78,4,29,49,20,17,38,7,15,16,37,56,36,"30,794"
"Robbie Brady\Robbie-Brady","IRL","MF","FW","Burnley",25,1992,15,15,1277,1,2,0,0,3,0,"2017-18",24,6,5,27,355,589,3,16,256,338,96,235,449,82,44,2,64,8,37,16,5,0,20,12,3,122,18,11,0,0,0,18,31,19,1,27,52,25,7,38,14,12,12,36,39,54,"20,688"
"Claudio Bravo\Claudio-Bravo","CHI","GK",NA,"Manchester City",34,1983,3,2,226,0,0,0,0,0,0,"2017-18",0,0,0,0,47,53,0,0,29,29,18,24,5,40,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,38,32,4,2,106,27,100,"54,070"
"Miguel Britos\Miguel-Britos","URU","DF",NA,"Watford",32,1985,12,10,797,1,0,0,0,3,1,"2017-18",3,2,0,3,309,411,2,8,177,220,130,183,279,66,8,0,0,3,35,3,0,0,8,6,0,5,4,12,0,0,0,2,3,2,0,14,21,7,14,38,11,8,19,44,64,41,"20,231"
"Leon Britton\Leon-Britton"," ENG","MF",NA,"Swansea City",34,1982,5,4,302,0,0,0,0,1,0,"2017-18",0,0,0,0,123,132,0,2,97,103,26,27,21,102,3,0,0,0,10,1,0,0,7,1,0,1,5,2,0,0,0,1,2,2,0,6,10,4,18,38,8,9,21,28,56,33,"20,623"
"Izzy Brown\Izzy-Brown"," ENG","MF","FW","Brighton",20,1997,13,4,311,0,0,0,0,0,0,"2017-18",2,1,0,6,90,128,1,9,78,97,11,22,24,85,1,0,0,0,9,4,3,0,3,3,1,7,5,3,0,0,0,6,8,6,0,5,9,4,15,38,9,13,16,34,54,40,"30,403"
"Bruno\Bruno","ESP","DF",NA,"Brighton",36,1980,25,23,2016,0,0,0,0,3,0,"2017-18",2,1,0,11,911,1177,13,35,654,754,244,388,45,898,7,0,0,168,65,6,3,0,19,9,0,41,16,40,0,1,0,14,24,15,0,26,40,14,15,38,9,13,16,34,54,40,"30,403"
"Chris Brunt\Chris-Brunt"," NIR","MF","DF","West Brom",32,1984,26,22,1920,0,7,0,0,5,0,"2017-18",25,5,8,33,720,1055,17,37,448,538,255,480,795,137,58,0,77,47,92,25,8,0,15,6,0,139,22,22,0,0,0,18,21,18,0,34,62,28,20,38,6,13,19,31,56,31,"24,520"
"Oliver Burke\Oliver-Burke"," SCO","FW","MF","West Brom",20,1997,15,2,367,0,2,0,0,0,0,"2017-18",4,0,0,4,112,145,4,9,102,121,6,15,4,125,1,0,0,1,5,0,0,0,2,5,1,8,2,7,0,0,0,9,16,12,0,5,10,5,20,38,6,13,19,31,56,31,"24,520"
"Jack Butland\Jack-Butland"," ENG","GK",NA,"Stoke City",24,1993,35,35,3150,0,0,0,0,0,0,"2017-18",0,0,0,1,490,986,1,4,110,115,379,867,157,664,124,0,0,0,65,1,0,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,1,1,19,38,7,12,19,35,68,33,"29,280"
"Sam Byram\Sam-Byram"," ENG","DF","MF","West Ham",23,1993,5,2,248,0,0,0,0,1,0,"2017-18",4,0,0,2,69,120,3,8,53,85,13,27,7,60,0,0,0,27,8,2,0,0,4,1,1,10,3,9,0,0,0,3,4,4,1,10,14,4,13,38,10,12,16,48,68,42,"56,885"
"Willy Caballero\Willy-Caballero","ARG","GK",NA,"Chelsea",35,1981,3,3,270,0,0,0,0,0,0,"2017-18",0,0,0,0,55,75,0,0,34,35,21,40,7,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,38,21,7,10,62,38,70,"41,282"
"Yohan Cabaye\Yohan-Cabaye","FRA","MF",NA,"Crystal Palace",31,1986,31,28,2376,0,1,0,0,7,0,"2017-18",38,10,4,43,1072,1395,40,68,791,886,241,441,85,1255,52,1,103,4,111,19,0,0,35,23,1,137,36,77,0,0,0,9,23,13,4,55,106,51,11,38,11,11,16,45,55,44,"25,063"
"Gary Cahill\Gary-Cahill"," ENG","DF",NA,"Chelsea",31,1985,27,24,2086,0,0,0,0,1,1,"2017-18",9,3,0,2,1148,1313,10,24,838,904,300,385,134,1028,16,0,0,8,79,1,0,0,17,18,0,0,9,30,0,0,0,3,3,3,0,30,42,12,5,38,21,7,10,62,38,70,"41,282"
"Dominic Calvert-Lewin\Dominic-Calvert-Lewin"," ENG","FW","MF","Everton",20,1997,32,18,1882,4,6,0,0,4,0,"2017-18",44,16,0,20,309,505,22,55,262,394,25,56,46,270,0,0,1,3,19,9,2,0,42,27,15,19,5,12,3,0,0,30,52,32,3,13,23,10,8,38,13,10,15,44,58,49,"38,797"
"Geoff Cameron\Geoff-Cameron","USA","MF","DF","Stoke City",32,1985,20,17,1525,0,0,0,0,2,0,"2017-18",5,0,0,8,399,577,6,19,287,341,106,217,149,288,1,0,0,53,41,2,1,0,16,7,0,9,18,38,0,0,0,11,18,13,0,31,51,20,19,38,7,12,19,35,68,33,"29,280"
